burnout,horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,autonomia,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,genero,teletrabajo,tipo_contrato,ocupacion_isco,edad,burnout_bin
,48.0,5.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,60.0,6.0,7,6.0,2,1.0,1.0,2,34.0,
2.0,40.0,2.0,2.0,3.0,2.0,,,,4.0,5.0,68.0,5.0,7,3.0,1,1.0,,1,24.0,0.0
,40.0,2.0,2.0,1.0,2.0,3.67,,5.0,5.0,5.0,96.0,3.0,7,3.0,1,1.0,1.0,9,48.0,
2.0,40.0,3.0,3.0,3.0,2.0,2.33,,5.0,4.0,4.0,40.0,7.0,7,5.0,1,1.0,1.0,7,47.0,0.0
,40.0,5.0,5.0,1.0,2.0,,,5.0,5.0,2.0,68.0,4.0,7,5.0,1,1.0,2.0,8,42.0,
2.0,40.0,3.0,3.0,2.0,2.0,3.33,,5.0,5.0,4.0,80.0,2.0,7,5.0,1,1.0,6.0,7,60.0,0.0
,40.0,5.0,5.0,1.0,1.0,,5.0,5.0,5.0,3.0,76.0,6.0,7,3.0,2,1.0,2.0,7,43.0,
2.0,40.0,3.0,3.0,1.0,2.0,5.0,,5.0,5.0,5.0,72.0,3.0,7,7.0,2,4.0,,4,30.0,0.0
,30.0,1.0,1.0,1.0,2.0,,5.0,5.0,4.0,5.0,80.0,4.0,7,5.0,2,1.0,1.0,9,45.0,
4.0,40.0,3.0,3.0,4.0,2.0,4.0,,3.0,5.0,4.0,64.0,6.0,7,2.0,1,2.0,1.0,7,33.0,1.0
2.0,45.0,3.0,4.0,2.0,2.0,4.33,,5.0,5.0,4.0,68.0,6.0,7,8.0,1,4.0,1.0,4,37.0,0.0
,50.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,56.0,8.0,7,7.0,2,6.0,1.0,4,34.0,
,40.0,3.0,4.0,2.0,2.0,3.67,,5.0,4.0,5.0,56.0,6.0,7,8.0,2,4.0,1.0,4,50.0,
2.0,40.0,5.0,3.0,3.0,1.0,1.67,3.0,3.0,2.0,4.0,56.0,8.0,7,3.0,2,1.0,6.0,8,47.0,0.0
,40.0,5.0,3.0,4.0,2.0,1.0,2.0,5.0,1.0,2.0,32.0,4.0,7,7.0,1,1.0,1.0,7,34.0,
4.0,40.0,3.0,1.0,1.0,2.0,1.33,5.0,5.0,4.0,5.0,40.0,4.0,7,3.0,1,1.0,1.0,7,51.0,1.0
,45.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,64.0,8.0,7,5.0,1,4.0,1.0,9,39.0,
2.0,40.0,4.0,2.0,1.0,2.0,,5.0,5.0,4.0,3.0,84.0,5.0,7,8.0,1,2.0,1.0,3,49.0,0.0
2.0,20.0,4.0,4.0,1.0,2.0,3.0,,5.0,5.0,5.0,84.0,3.0,7,5.0,2,1.0,2.0,7,31.0,0.0
2.0,40.0,5.0,5.0,3.0,2.0,2.33,4.0,4.0,3.0,5.0,56.0,8.0,7,5.0,1,1.0,1.0,7,48.0,0.0
3.0,40.0,5.0,4.0,3.0,1.0,3.67,,4.0,4.0,4.0,40.0,4.0,7,5.0,2,3.0,1.0,4,55.0,1.0
,35.0,1.0,1.0,1.0,2.0,4.33,,5.0,4.0,4.0,72.0,2.0,7,6.0,2,1.0,1.0,7,30.0,
,40.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,48.0,6.0,7,3.0,2,1.0,1.0,7,48.0,
,40.0,3.0,3.0,4.0,2.0,,5.0,5.0,5.0,5.0,76.0,6.0,7,4.0,1,1.0,1.0,7,44.0,
4.0,44.0,5.0,5.0,3.0,1.0,2.67,,4.0,1.0,3.0,84.0,4.0,7,4.0,1,1.0,1.0,9,35.0,1.0
2.0,40.0,2.0,3.0,1.0,2.0,4.67,,4.0,5.0,5.0,72.0,4.0,7,8.0,1,5.0,1.0,3,43.0,0.0
2.0,40.0,1.0,3.0,1.0,2.0,1.67,,5.0,4.0,4.0,68.0,5.0,7,2.0,2,1.0,2.0,7,56.0,0.0
3.0,40.0,5.0,5.0,2.0,1.0,1.0,,5.0,1.0,3.0,32.0,6.0,7,7.0,2,3.0,1.0,4,41.0,1.0
,42.0,4.0,3.0,2.0,2.0,4.33,4.0,4.0,4.0,4.0,56.0,7.0,7,5.0,1,4.0,1.0,3,53.0,
,40.0,1.0,1.0,2.0,2.0,,4.0,4.0,5.0,4.0,52.0,4.0,7,9.0,2,2.0,1.0,4,36.0,
2.0,40.0,2.0,3.0,2.0,2.0,1.33,3.0,5.0,5.0,3.0,44.0,5.0,7,7.0,1,1.0,2.0,5,47.0,0.0
2.0,40.0,5.0,4.0,1.0,2.0,2.33,1.0,3.0,1.0,5.0,84.0,7.0,7,3.0,2,1.0,1.0,7,46.0,0.0
,30.0,4.0,4.0,4.0,1.0,1.33,,4.0,1.0,3.0,44.0,4.0,7,3.0,2,1.0,2.0,7,49.0,
,40.0,4.0,1.0,1.0,2.0,,5.0,5.0,4.0,5.0,100.0,4.0,7,3.0,1,1.0,1.0,7,58.0,
4.0,40.0,4.0,4.0,1.0,2.0,2.0,,4.0,4.0,4.0,68.0,5.0,7,8.0,2,4.0,2.0,4,37.0,1.0
4.0,40.0,3.0,2.0,1.0,1.0,3.67,5.0,4.0,5.0,4.0,100.0,4.0,7,4.0,1,1.0,2.0,3,22.0,1.0
2.0,40.0,3.0,3.0,1.0,2.0,1.0,,5.0,4.0,5.0,80.0,4.0,7,7.0,1,1.0,3.0,8,45.0,0.0
3.0,40.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,60.0,5.0,7,2.0,1,1.0,1.0,7,22.0,1.0
,72.0,5.0,3.0,1.0,2.0,4.33,,,5.0,5.0,76.0,2.0,7,4.0,2,1.0,,5,32.0,
,40.0,3.0,1.0,1.0,2.0,1.0,5.0,5.0,3.0,3.0,48.0,8.0,7,3.0,1,1.0,2.0,7,28.0,
2.0,40.0,3.0,3.0,2.0,2.0,,3.0,3.0,4.0,4.0,76.0,4.0,7,4.0,1,1.0,1.0,7,49.0,0.0
,40.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,52.0,5.0,7,8.0,1,4.0,1.0,1,42.0,
2.0,40.0,5.0,5.0,1.0,2.0,,3.0,5.0,5.0,5.0,60.0,8.0,7,3.0,2,1.0,1.0,8,63.0,0.0
1.0,35.0,5.0,5.0,3.0,2.0,2.33,,4.0,4.0,3.0,60.0,3.0,7,7.0,1,2.0,1.0,4,38.0,1.0
4.0,40.0,5.0,5.0,1.0,2.0,3.33,2.0,2.0,4.0,4.0,92.0,3.0,7,4.0,1,1.0,2.0,8,46.0,1.0
2.0,40.0,1.0,2.0,1.0,2.0,5.0,,5.0,4.0,2.0,16.0,2.0,7,2.0,1,2.0,1.0,4,43.0,0.0
4.0,40.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,48.0,8.0,7,4.0,1,1.0,1.0,7,52.0,1.0
,5.0,3.0,3.0,1.0,2.0,4.0,,4.0,5.0,5.0,96.0,8.0,7,5.0,1,2.0,1.0,4,54.0,
2.0,40.0,4.0,3.0,2.0,2.0,3.67,,4.0,2.0,4.0,68.0,5.0,7,6.0,2,2.0,1.0,3,28.0,0.0
,55.0,5.0,4.0,1.0,2.0,,4.0,4.0,1.0,2.0,28.0,5.0,7,5.0,2,1.0,,8,37.0,
,50.0,4.0,5.0,3.0,1.0,,2.0,4.0,4.0,2.0,64.0,3.0,7,3.0,1,1.0,1.0,4,60.0,
2.0,40.0,3.0,3.0,2.0,2.0,3.67,,4.0,4.0,3.0,60.0,6.0,7,8.0,2,6.0,1.0,4,53.0,0.0
,40.0,5.0,5.0,3.0,2.0,,2.0,2.0,1.0,2.0,56.0,6.0,7,7.0,2,2.0,1.0,3,28.0,
,40.0,3.0,2.0,3.0,2.0,5.0,,5.0,5.0,5.0,80.0,3.0,7,5.0,1,2.0,1.0,7,36.0,
2.0,42.0,5.0,2.0,1.0,2.0,,5.0,5.0,5.0,4.0,76.0,4.0,7,5.0,1,1.0,6.0,7,28.0,0.0
2.0,40.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,3.0,68.0,4.0,7,4.0,1,1.0,1.0,5,55.0,0.0
2.0,40.0,5.0,4.0,2.0,2.0,2.67,5.0,5.0,5.0,5.0,40.0,4.0,7,3.0,2,1.0,1.0,7,54.0,0.0
3.0,30.0,3.0,1.0,3.0,1.0,2.0,,3.0,1.0,3.0,36.0,5.0,7,3.0,2,1.0,1.0,7,51.0,1.0
3.0,40.0,5.0,5.0,2.0,1.0,,2.0,3.0,4.0,4.0,24.0,4.0,7,3.0,1,1.0,1.0,7,29.0,1.0
1.0,42.0,4.0,2.0,1.0,2.0,1.67,5.0,5.0,4.0,4.0,64.0,7.0,7,6.0,2,1.0,3.0,7,29.0,1.0
,40.0,4.0,2.0,1.0,2.0,2.67,4.0,4.0,5.0,4.0,68.0,4.0,7,7.0,1,6.0,1.0,4,53.0,
2.0,50.0,4.0,1.0,3.0,2.0,3.33,,5.0,4.0,2.0,68.0,4.0,7,6.0,2,2.0,1.0,2,30.0,0.0
4.0,40.0,5.0,1.0,1.0,2.0,1.67,5.0,5.0,4.0,4.0,64.0,4.0,7,6.0,2,1.0,1.0,7,27.0,1.0
1.0,55.0,5.0,5.0,2.0,2.0,3.0,,4.0,4.0,3.0,32.0,7.0,7,8.0,1,5.0,1.0,1,56.0,1.0
2.0,24.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,80.0,3.0,7,5.0,2,2.0,1.0,5,24.0,0.0
,40.0,1.0,1.0,1.0,2.0,2.33,,4.0,5.0,5.0,80.0,4.0,7,2.0,1,1.0,1.0,4,88.0,
,35.0,5.0,5.0,1.0,2.0,,,5.0,5.0,2.0,28.0,4.0,7,3.0,2,1.0,2.0,7,19.0,
4.0,40.0,5.0,1.0,2.0,1.0,1.0,,5.0,2.0,5.0,64.0,4.0,7,7.0,1,1.0,2.0,8,40.0,1.0
4.0,42.0,2.0,4.0,2.0,2.0,,3.0,3.0,4.0,2.0,68.0,5.0,7,6.0,1,1.0,1.0,8,27.0,1.0
,40.0,3.0,2.0,1.0,2.0,2.0,,4.0,4.0,5.0,68.0,5.0,7,5.0,1,1.0,3.0,8,33.0,
,40.0,4.0,3.0,2.0,2.0,,5.0,5.0,2.0,3.0,40.0,6.0,7,3.0,1,2.0,1.0,3,29.0,
4.0,40.0,4.0,5.0,2.0,2.0,4.33,4.0,5.0,5.0,4.0,88.0,8.0,7,3.0,1,2.0,1.0,9,56.0,1.0
2.0,40.0,4.0,4.0,3.0,2.0,,4.0,4.0,5.0,4.0,52.0,5.0,7,6.0,2,3.0,1.0,3,36.0,0.0
,40.0,5.0,5.0,1.0,2.0,,5.0,5.0,5.0,4.0,64.0,5.0,7,8.0,1,3.0,1.0,1,45.0,
2.0,20.0,1.0,1.0,2.0,2.0,1.67,5.0,5.0,5.0,5.0,80.0,6.0,7,3.0,2,1.0,1.0,7,39.0,0.0
,40.0,2.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,36.0,3.0,7,5.0,2,4.0,1.0,4,48.0,
,40.0,4.0,3.0,1.0,2.0,1.67,5.0,5.0,5.0,4.0,68.0,4.0,7,3.0,1,2.0,2.0,8,43.0,
2.0,40.0,4.0,3.0,2.0,2.0,5.0,,5.0,4.0,4.0,48.0,7.0,7,6.0,1,6.0,1.0,4,48.0,0.0
,40.0,3.0,1.0,1.0,2.0,1.0,,,4.0,4.0,68.0,1.0,7,4.0,2,1.0,,8,56.0,
2.0,35.0,2.0,3.0,2.0,2.0,3.0,,5.0,5.0,4.0,76.0,5.0,7,7.0,2,5.0,1.0,1,59.0,0.0
4.0,60.0,4.0,4.0,2.0,2.0,5.0,,4.0,5.0,4.0,96.0,8.0,7,7.0,1,6.0,1.0,1,48.0,1.0
,40.0,2.0,2.0,1.0,2.0,2.33,5.0,4.0,5.0,4.0,68.0,4.0,7,2.0,1,1.0,6.0,7,33.0,
4.0,48.0,3.0,1.0,1.0,2.0,4.67,,5.0,5.0,4.0,80.0,3.0,7,3.0,1,1.0,3.0,8,55.0,1.0
,40.0,4.0,4.0,2.0,2.0,,4.0,5.0,5.0,5.0,88.0,4.0,7,4.0,1,3.0,1.0,2,28.0,
2.0,40.0,4.0,4.0,3.0,2.0,5.0,,3.0,4.0,4.0,80.0,6.0,7,6.0,1,5.0,6.0,1,65.0,0.0
4.0,40.0,4.0,3.0,3.0,1.0,4.33,,3.0,1.0,4.0,80.0,3.0,7,3.0,1,1.0,2.0,7,51.0,1.0
,40.0,2.0,4.0,2.0,1.0,,3.0,2.0,4.0,3.0,56.0,3.0,7,5.0,1,2.0,1.0,8,42.0,
2.0,40.0,3.0,3.0,1.0,2.0,1.67,4.0,5.0,1.0,4.0,80.0,4.0,7,4.0,1,1.0,1.0,7,51.0,0.0
,40.0,5.0,5.0,2.0,1.0,,,,5.0,5.0,92.0,3.0,7,4.0,1,1.0,,7,32.0,
,50.0,3.0,4.0,1.0,1.0,3.33,,,4.0,5.0,64.0,1.0,7,4.0,1,1.0,,7,44.0,
,40.0,3.0,3.0,1.0,1.0,3.0,,4.0,5.0,4.0,76.0,4.0,7,4.0,1,4.0,1.0,1,22.0,
2.0,40.0,4.0,5.0,2.0,2.0,,4.0,5.0,4.0,5.0,64.0,4.0,7,2.0,1,1.0,1.0,7,47.0,0.0
3.0,45.0,1.0,1.0,1.0,2.0,3.67,,3.0,5.0,5.0,76.0,4.0,7,3.0,1,1.0,1.0,8,44.0,1.0
2.0,45.0,4.0,4.0,2.0,1.0,4.0,,4.0,4.0,3.0,80.0,6.0,7,6.0,1,4.0,1.0,4,53.0,0.0
,40.0,5.0,4.0,3.0,2.0,,2.0,4.0,5.0,5.0,96.0,5.0,7,5.0,1,2.0,1.0,9,51.0,
,40.0,3.0,3.0,2.0,2.0,,,,5.0,4.0,76.0,4.0,7,3.0,1,1.0,,8,51.0,
,40.0,3.0,5.0,3.0,2.0,,4.0,1.0,5.0,4.0,80.0,4.0,7,5.0,1,2.0,1.0,4,62.0,
2.0,40.0,3.0,5.0,2.0,2.0,3.67,,5.0,5.0,5.0,96.0,4.0,7,2.0,1,1.0,3.0,7,24.0,0.0
,40.0,5.0,3.0,3.0,2.0,2.0,,5.0,3.0,4.0,84.0,6.0,7,5.0,1,2.0,1.0,8,43.0,
,39.0,5.0,5.0,3.0,1.0,,5.0,5.0,5.0,4.0,84.0,4.0,7,7.0,2,1.0,1.0,9,52.0,
2.0,40.0,5.0,5.0,3.0,2.0,,3.0,5.0,2.0,3.0,60.0,6.0,7,6.0,1,2.0,1.0,2,27.0,0.0
3.0,40.0,4.0,4.0,1.0,2.0,1.67,,5.0,5.0,5.0,76.0,4.0,7,8.0,1,2.0,1.0,2,29.0,1.0
,40.0,5.0,5.0,2.0,2.0,,4.0,5.0,4.0,4.0,60.0,8.0,7,7.0,1,2.0,1.0,2,48.0,
2.0,40.0,3.0,3.0,1.0,2.0,4.0,,5.0,5.0,5.0,68.0,7.0,7,6.0,1,4.0,1.0,4,52.0,0.0
