horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,teletrabajo
37.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,72.0,4.0,7,9.0,4.0
35.0,3.0,3.0,1.0,2.0,4.0,4.0,5.0,5.0,80.0,4.0,7,7.0,4.0
40.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,88.0,4.0,7,3.0,4.0
45.0,3.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,64.0,5.0,7,8.0,6.0
37.0,3.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,76.0,3.0,7,4.0,2.0
38.0,5.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,48.0,5.0,7,6.0,1.0
38.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,4.0,92.0,6.0,7,4.0,1.0
45.0,4.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,60.0,3.0,7,4.0,5.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,68.0,2.0,7,5.0,5.0
40.0,5.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,48.0,5.0,7,9.0,3.0
35.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,76.0,5.0,7,5.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,100.0,4.0,3,2.0,1.0
40.0,1.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,40.0,5.0,3,3.0,1.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,80.0,3.0,3,4.0,1.0
40.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,88.0,2.0,3,1.0,1.0
40.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,76.0,6.0,3,6.0,4.0
40.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,60.0,3.0,3,6.0,3.0
16.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,68.0,3.0,3,4.0,5.0
40.0,3.0,5.0,3.0,1.0,2.0,5.0,1.0,5.0,64.0,2.0,3,3.0,1.0
40.0,3.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,100.0,3.0,3,3.0,1.0
40.0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,5.0,76.0,6.0,3,8.0,1.0
40.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,80.0,1.0,3,4.0,1.0
60.0,5.0,5.0,1.0,2.0,5.0,5.0,1.0,2.0,96.0,3.0,3,5.0,1.0
40.0,4.0,4.0,1.0,2.0,5.0,5.0,4.0,5.0,60.0,2.0,3,6.0,4.0
50.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,3.0,60.0,4.0,3,2.0,1.0
40.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,48.0,4.0,3,5.0,1.0
38.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,92.0,4.0,3,5.0,1.0
40.0,1.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0,84.0,4.0,3,3.0,5.0
