horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,teletrabajo
40.0,4.0,5.0,1.0,2.0,2.0,3.0,4.0,5.0,80.0,5.0,7,3.0,1.0
20.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,5.0,44.0,4.0,7,5.0,4.0
43.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,100.0,8.0,7,3.0,1.0
40.0,4.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,76.0,6.0,7,5.0,2.0
50.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,2.0,52.0,5.0,7,3.0,1.0
66.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,2.0,72.0,3.0,7,3.0,1.0
50.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,52.0,8.0,7,7.0,6.0
40.0,5.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,52.0,6.0,7,6.0,4.0
45.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0,4.0,72.0,4.0,7,5.0,1.0
38.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,72.0,7.0,7,6.0,4.0
40.0,5.0,5.0,3.0,1.0,3.0,3.0,1.0,5.0,20.0,5.0,7,5.0,2.0
38.0,2.0,4.0,1.0,2.0,5.0,4.0,3.0,5.0,64.0,8.0,7,7.0,4.0
25.0,2.0,3.0,2.0,1.0,5.0,5.0,3.0,4.0,76.0,2.0,7,5.0,1.0
40.0,4.0,3.0,1.0,2.0,5.0,5.0,2.0,5.0,60.0,4.0,7,3.0,1.0
70.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,48.0,2.0,7,4.0,1.0
40.0,4.0,5.0,2.0,2.0,4.0,5.0,1.0,4.0,56.0,5.0,7,5.0,1.0
40.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,4.0,68.0,4.0,7,4.0,2.0
40.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,5.0,68.0,5.0,7,5.0,5.0
40.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,96.0,4.0,7,5.0,1.0
60.0,4.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,52.0,7.0,7,8.0,3.0
40.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,100.0,4.0,7,3.0,1.0
40.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,80.0,6.0,7,8.0,5.0
40.0,1.0,3.0,3.0,2.0,2.0,5.0,1.0,4.0,36.0,6.0,7,5.0,2.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,84.0,1.0,7,7.0,6.0
32.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,4.0,52.0,3.0,7,8.0,4.0
40.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,56.0,4.0,7,8.0,3.0
20.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,68.0,4.0,7,4.0,1.0
40.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,72.0,6.0,7,5.0,1.0
60.0,5.0,5.0,5.0,1.0,2.0,4.0,1.0,2.0,56.0,4.0,7,7.0,6.0
60.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,80.0,5.0,7,8.0,3.0
40.0,3.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,84.0,3.0,7,5.0,3.0
40.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,3.0,64.0,5.0,7,5.0,1.0
35.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,60.0,2.0,7,8.0,4.0
40.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,100.0,4.0,7,4.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,60.0,4.0,7,5.0,2.0
42.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,36.0,6.0,7,7.0,4.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,100.0,2.0,7,4.0,1.0
45.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,48.0,7.0,7,8.0,3.0
40.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,76.0,7.0,7,8.0,4.0
40.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,84.0,6.0,7,8.0,2.0
40.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,60.0,5.0,7,8.0,4.0
40.0,5.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,52.0,8.0,7,5.0,2.0
40.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,20.0,4.0,7,5.0,2.0
45.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,48.0,5.0,7,6.0,2.0
40.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,48.0,4.0,7,5.0,1.0
40.0,5.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,88.0,8.0,7,5.0,2.0
38.0,2.0,4.0,2.0,2.0,3.0,5.0,1.0,4.0,92.0,6.0,7,5.0,2.0
40.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,76.0,8.0,7,5.0,2.0
40.0,1.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,84.0,4.0,7,3.0,5.0
45.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,68.0,4.0,7,3.0,1.0
40.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,88.0,8.0,7,3.0,2.0
40.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,68.0,8.0,7,4.0,2.0
40.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,4.0,60.0,6.0,7,5.0,1.0
60.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,76.0,4.0,7,3.0,1.0
40.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,88.0,7.0,7,3.0,6.0
40.0,3.0,2.0,2.0,2.0,5.0,5.0,1.0,5.0,48.0,4.0,7,5.0,1.0
40.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,52.0,5.0,7,8.0,4.0
35.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,60.0,8.0,7,5.0,2.0
50.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,3.0,52.0,8.0,7,7.0,4.0
